# S target l2 l1
50.000000 -10.000000 -9.971040 -10.106620
50.200401 -9.899800 -9.871755 -10.006088
50.400802 -9.799599 -9.772471 -9.905557
50.601202 -9.699399 -9.673186 -9.805025
50.801603 -9.599198 -9.573902 -9.704494
51.002004 -9.498998 -9.474618 -9.603962
51.202405 -9.398798 -9.375333 -9.503431
51.402806 -9.298597 -9.276049 -9.402899
51.603206 -9.198397 -9.176764 -9.302368
51.803607 -9.098196 -9.077480 -9.201836
52.004008 -8.997996 -8.978196 -9.101305
52.204409 -8.897796 -8.878911 -9.000773
52.404810 -8.797595 -8.779627 -8.900242
52.605210 -8.697395 -8.680343 -8.799710
52.805611 -8.597194 -8.581058 -8.699179
53.006012 -8.496994 -8.481774 -8.598647
53.206413 -8.396794 -8.382489 -8.498115
53.406814 -8.296593 -8.283205 -8.397584
53.607214 -8.196393 -8.183921 -8.297052
53.807615 -8.096192 -8.084636 -8.196521
54.008016 -7.995992 -7.985352 -8.095989
54.208417 -7.895792 -7.886067 -7.995458
54.408818 -7.795591 -7.786783 -7.894926
54.609218 -7.695391 -7.687499 -7.794395
54.809619 -7.595190 -7.588214 -7.693863
55.010020 -7.494990 -7.488930 -7.593332
55.210421 -7.394790 -7.389646 -7.492800
55.410822 -7.294589 -7.290361 -7.392269
55.611222 -7.194389 -7.191077 -7.291737
55.811623 -7.094188 -7.091792 -7.191206
56.012024 -6.993988 -6.992508 -7.090674
56.212425 -6.893788 -6.893224 -6.990143
56.412826 -6.793587 -6.793939 -6.889611
56.613226 -6.693387 -6.694655 -6.789079
56.813627 -6.593186 -6.595370 -6.688548
57.014028 -6.492986 -6.496086 -6.588016
57.214429 -6.392786 -6.396802 -6.487485
57.414830 -6.292585 -6.297517 -6.386953
57.615230 -6.192385 -6.198233 -6.286422
57.815631 -6.092184 -6.098949 -6.185890
58.016032 -5.991984 -5.999664 -6.085359
58.216433 -5.891784 -5.900380 -5.984827
58.416834 -5.791583 -5.801095 -5.884296
58.617234 -5.691383 -5.701811 -5.783764
58.817635 -5.591182 -5.602527 -5.683233
59.018036 -5.490982 -5.503242 -5.582701
59.218437 -5.390782 -5.403958 -5.482170
59.418838 -5.290581 -5.304673 -5.381638
59.619238 -5.190381 -5.205389 -5.281106
59.819639 -5.090180 -5.106105 -5.180575
60.020040 -4.989980 -5.006820 -5.080043
60.220441 -4.889780 -4.907536 -4.979512
60.420842 -4.789579 -4.808252 -4.878980
60.621242 -4.689379 -4.708967 -4.778449
60.821643 -4.589178 -4.609683 -4.677917
61.022044 -4.488978 -4.510398 -4.577386
61.222445 -4.388778 -4.411114 -4.476854
61.422846 -4.288577 -4.311830 -4.376323
61.623246 -4.188377 -4.212545 -4.275791
61.823647 -4.088176 -4.113261 -4.175260
62.024048 -3.987976 -4.013976 -4.074728
62.224449 -3.887776 -3.914692 -3.974197
62.424850 -3.787575 -3.815408 -3.873665
62.625251 -3.687375 -3.716123 -3.773134
62.825651 -3.587174 -3.616839 -3.672602
63.026052 -3.486974 -3.517555 -3.572070
63.226453 -3.386774 -3.418270 -3.471539
63.426854 -3.286573 -3.318986 -3.371007
63.627255 -3.186373 -3.219701 -3.270476
63.827655 -3.086172 -3.120417 -3.169944
64.028056 -2.985972 -3.021133 -3.069413
64.228457 -2.885772 -2.921848 -2.968881
64.428858 -2.785571 -2.822564 -2.868350
64.629259 -2.685371 -2.723279 -2.767818
64.829659 -2.585170 -2.623995 -2.667287
65.030060 -2.484970 -2.524711 -2.566755
65.230461 -2.384770 -2.425426 -2.466224
65.430862 -2.284569 -2.326142 -2.365692
65.631263 -2.184369 -2.226858 -2.265161
65.831663 -2.084168 -2.127573 -2.164629
66.032064 -1.983968 -2.028289 -2.064097
66.232465 -1.883768 -1.929004 -1.963566
66.432866 -1.783567 -1.829720 -1.863034
66.633267 -1.683367 -1.730436 -1.762503
66.833667 -1.583166 -1.631151 -1.661971
67.034068 -1.482966 -1.531867 -1.561440
67.234469 -1.382766 -1.432582 -1.460908
67.434870 -1.282565 -1.333298 -1.360377
67.635271 -1.182365 -1.234014 -1.259845
67.835671 -1.082164 -1.134729 -1.159314
68.036072 -0.981964 -1.035445 -1.058782
68.236473 -0.881764 -0.936161 -0.958251
68.436874 -0.781563 -0.836876 -0.857719
68.637275 -0.681363 -0.737592 -0.757188
68.837675 -0.581162 -0.638307 -0.656656
69.038076 -0.480962 -0.539023 -0.556125
69.238477 -0.380762 -0.439739 -0.455593
69.438878 -0.280561 -0.340454 -0.355061
69.639279 -0.180361 -0.241170 -0.254530
69.839679 -0.080160 -0.141885 -0.153998
70.040080 0.020040 -0.040915 -0.046299
70.240481 0.120240 0.066801 0.090075
70.440882 0.220441 0.174516 0.226448
70.641283 0.320641 0.282231 0.362821
70.841683 0.420842 0.389947 0.499194
71.042084 0.521042 0.497662 0.635567
71.242485 0.621242 0.605378 0.771940
71.442886 0.721443 0.713093 0.908313
71.643287 0.821643 0.820809 1.044686
71.843687 0.921844 0.928524 1.181059
72.044088 1.022044 1.036240 1.317432
72.244489 1.122244 1.143955 1.453806
72.444890 1.222445 1.251670 1.590179
72.645291 1.322645 1.359386 1.726552
72.845691 1.422846 1.467101 1.862925
73.046092 1.523046 1.574817 1.999298
73.246493 1.623246 1.682532 2.135671
73.446894 1.723447 1.790248 2.272044
73.647295 1.823647 1.897963 2.408417
73.847695 1.923848 2.005679 2.544790
74.048096 2.024048 2.113394 2.681163
74.248497 2.124248 2.221109 2.817537
74.448898 2.224449 2.328825 2.953910
74.649299 2.324649 2.436540 3.090283
74.849699 2.424850 2.544256 3.226656
75.050100 2.525050 2.651971 3.363029
75.250501 2.625251 2.759687 3.499402
75.450902 2.725451 2.867402 3.635775
75.651303 2.825651 2.975118 3.772148
75.851703 2.925852 3.082833 3.908521
76.052104 3.026052 3.190548 4.044894
76.252505 3.126253 3.298264 4.181268
76.452906 3.226453 3.405979 4.317641
76.653307 3.326653 3.513695 4.454014
76.853707 3.426854 3.621410 4.590387
77.054108 3.527054 3.729126 4.726760
77.254509 3.627255 3.836841 4.863133
77.454910 3.727455 3.944557 4.999506
77.655311 3.827655 4.052272 5.135879
77.855711 3.927856 4.159987 5.272252
78.056112 4.028056 4.267703 5.408625
78.256513 4.128257 4.375418 5.544999
78.456914 4.228457 4.483134 5.681372
78.657315 4.328657 4.590849 5.817745
78.857715 4.428858 4.698565 5.954118
79.058116 4.529058 4.806280 6.090491
79.258517 4.629259 4.913996 6.226864
79.458918 4.729459 5.021711 6.363237
79.659319 4.829659 5.129426 6.499610
79.859719 4.929860 5.237142 6.635983
80.060120 5.094435 5.387132 6.772356
80.260521 5.409111 5.635763 6.908730
80.460922 5.723382 5.884394 7.045103
80.661323 6.036936 6.133026 7.181476
80.861723 6.349462 6.381657 7.317849
81.062124 6.660652 6.630288 7.454222
81.262525 6.970196 6.878919 7.590595
81.462926 7.277788 7.127550 7.726968
81.663327 7.583122 7.376181 7.863341
81.863727 7.885898 7.624813 7.999714
82.064128 8.185814 7.873444 8.136087
82.264529 8.482573 8.122075 8.272461
82.464930 8.775882 8.370706 8.408834
82.665331 9.065449 8.619337 8.545207
82.865731 9.350988 8.867968 8.681580
83.066132 9.632216 9.116600 8.817953
83.266533 9.908855 9.365231 8.954326
83.466934 10.180629 9.613862 9.090699
83.667335 10.447270 9.862493 9.227072
83.867735 10.708514 10.111124 9.363445
84.068136 10.964102 10.359755 9.499818
